timestamp,name,alias,group,activity,raw_mileage,share_img,actual_mileage
2020-10-22 03:16:28,Cameron Proctor,C. Proctor,ADSS/ADWS/ADWO,Run,5,,5.0
2020-10-22 03:25:58,Catherine Smith,C. Smith,ADW,Cycle,4,,1.0
2020-10-22 04:10:19,Barbara Williams,B. Williams,ADW,Cycle,1,,0.25
2020-10-22 04:17:41,James Hammond,J. Hammond,ADSS/ADWS/ADWO,Walk,7,,7.0
2020-10-22 06:53:03,Catherine Wilkins,C. Wilkins,AFE,Swim,2,,12.0
2020-10-22 07:22:50,Wendy Maynard,W. Maynard,AFE,Cycle,5,,1.25
2020-10-22 09:04:59,Brandon Fuller,B. Fuller,ABM,Walk,7,,7.0
2020-10-22 09:19:33,Steven Johnson,S. Johnson,ADW,Run,6,,6.0
2020-10-22 10:06:23,Robert Clark,R. Clark,ABM,Swim,4,,24.0
2020-10-22 16:22:21,Stephanie Walker,S. Walker,AFE,Run,5,,5.0
2020-10-22 17:19:17,Zachary Thomas,Z. Thomas,ADSS/ADWS/ADWO,Run,1,,1.0
2020-10-22 17:49:35,Lori Pham,L. Pham,AOSX/AOS,Walk,6,,6.0
2020-10-22 17:52:56,James Mays,J. Mays,ADW,Run,7,,7.0
2020-10-22 17:54:15,Erica Raymond,E. Raymond,ADSS/ADWS/ADWO,Swim,8,,48.0
2020-10-22 22:13:36,Paula Scott,P. Scott,ATC,Walk,1,,1.0
2020-10-22 22:14:16,Aaron Graham,A. Graham,ADSS/ADWS/ADWO,Cycle,7,,1.75
2020-10-22 23:21:30,Tracey Nguyen,T. Nguyen,AOSX/AOS,Cycle,1,,0.25
2020-10-23 02:03:17,Rick Johnson,R. Johnson,ATC,Walk,8,,8.0
2020-10-23 02:15:28,Charles Tyler,C. Tyler,AFE,Walk,10,,10.0
2020-10-23 03:06:08,Tracey Nguyen,T. Nguyen,AOSX/AOS,Walk,6,,6.0
2020-10-23 03:16:21,Stephanie Walker,S. Walker,AFE,Swim,3,,18.0
2020-10-23 03:34:55,Steven Peterson,S. Peterson,ADW,Walk,8,,8.0
2020-10-23 05:12:05,Brandon Russell,B. Russell,ATC,Swim,6,,36.0
2020-10-23 06:24:53,Aaron Graham,A. Graham,ADSS/ADWS/ADWO,Cycle,9,,2.25
2020-10-23 07:13:48,James Jones,J. Jones,AOSX/AOS,Swim,3,,18.0
2020-10-23 08:31:52,Rachel Webb,R. Webb,AFE,Cycle,5,,1.25
2020-10-23 10:28:03,Stephanie Lee DDS,S. Lee,ADW,Run,8,,8.0
2020-10-23 11:23:03,Evan Peterson,E. Peterson,AOSX/AOS,Cycle,3,,0.75
2020-10-23 12:09:30,Harold Perez,H. Perez,AOSX/AOS,Run,3,,3.0
2020-10-23 13:50:57,Misty Stout,M. Stout,ADSS/ADWS/ADWO,Walk,8,,8.0
2020-10-23 14:16:28,Veronica Barnett,V. Barnett,ADW,Cycle,3,,0.75
2020-10-23 14:53:27,Matthew Payne,M. Payne,AFE,Swim,6,,36.0
2020-10-23 17:17:08,Paula Scott,P. Scott,ATC,Cycle,4,,1.0
2020-10-23 17:30:51,Shelby Robertson,S. Robertson,ABM,Swim,8,,48.0
2020-10-23 18:07:44,Paula Scott,P. Scott,ATC,Cycle,9,,2.25
2020-10-23 22:01:57,Rick Rodriguez,R. Rodriguez,ADSS/ADWS/ADWO,Cycle,9,,2.25
2020-10-23 23:00:45,Barbara Williams,B. Williams,ADW,Run,10,,10.0
2020-10-23 23:50:01,James Jones,J. Jones,AOSX/AOS,Swim,7,,42.0
2020-10-23 23:50:04,Mark Booker,M. Booker,AOSX/AOS,Run,2,,2.0
2020-10-23 23:58:33,Lori Pham,L. Pham,AOSX/AOS,Walk,4,,4.0
2020-10-24 00:47:43,Antonio Taylor,A. Taylor,ABM,Cycle,2,,0.5
2020-10-24 02:18:16,Mark Booker,M. Booker,AOSX/AOS,Run,5,,5.0
2020-10-24 02:40:14,Deborah Gonzales,D. Gonzales,ABM,Walk,8,,8.0
2020-10-24 03:37:08,Steven Peterson,S. Peterson,ADW,Walk,4,,4.0
2020-10-24 03:50:28,Deborah Gonzales,D. Gonzales,ABM,Cycle,2,,0.5
2020-10-24 04:44:09,Evelyn Christian,E. Christian,AOSX/AOS,Swim,3,,18.0
2020-10-24 04:52:15,William Baker,W. Baker,AFE,Run,9,,9.0
2020-10-24 05:36:30,Sydney Parsons,S. Parsons,ADW,Walk,8,,8.0
2020-10-24 07:27:54,Jonathan Gardner,J. Gardner,AFE,Run,8,,8.0
2020-10-24 07:57:08,Heidi Caldwell,H. Caldwell,ABM,Run,6,,6.0
2020-10-24 08:08:20,Jonathan Gardner,J. Gardner,AFE,Run,4,,4.0
2020-10-24 09:11:39,Patricia Roberts,P. Roberts,ATC,Walk,10,,10.0
2020-10-24 11:14:13,Jonathan Calderon,J. Calderon,AFE,Cycle,9,,2.25
2020-10-24 11:28:09,Arthur Kelly,A. Kelly,ATC,Run,6,,6.0
2020-10-24 13:32:02,Angel Benson,A. Benson,ADSS/ADWS/ADWO,Swim,2,,12.0
2020-10-24 17:13:15,Julie Lam,J. Lam,AOSX/AOS,Swim,2,,12.0
2020-10-24 17:23:29,Harold Perez,H. Perez,AOSX/AOS,Cycle,5,,1.25
2020-10-24 20:25:54,Michael Brown,M. Brown,ABM,Walk,5,,5.0
2020-10-25 01:17:42,Cynthia Webb,C. Webb,ADW,Swim,8,,48.0
2020-10-25 01:27:28,Stefanie Tucker,S. Tucker,ABM,Walk,7,,7.0
2020-10-25 02:33:07,Patricia Roberts,P. Roberts,ATC,Run,1,,1.0
2020-10-25 02:46:48,Jeffrey Smith,J. Smith,ABM,Walk,1,,1.0
2020-10-25 03:55:58,Jessica Carter,J. Carter,ADSS/ADWS/ADWO,Swim,8,,48.0
2020-10-25 09:29:07,Thomas Berry,T. Berry,ADSS/ADWS/ADWO,Cycle,8,,2.0
2020-10-25 10:35:19,Cynthia Webb,C. Webb,ADW,Walk,5,,5.0
2020-10-25 10:35:51,Shawn Brown,S. Brown,ATC,Swim,6,,36.0
2020-10-25 10:52:33,Pamela Graham,P. Graham,ADW,Swim,8,,48.0
2020-10-25 11:40:24,Matthew Payne,M. Payne,AFE,Swim,3,,18.0
2020-10-25 13:41:15,Michael Brown,M. Brown,ABM,Swim,2,,12.0
2020-10-25 13:53:36,Lawrence Crawford,L. Crawford,AFE,Swim,1,,6.0
2020-10-25 14:27:33,Paul Rogers,P. Rogers,AOSX/AOS,Run,3,,3.0
2020-10-25 15:47:15,Danny Mason,D. Mason,AOSX/AOS,Run,10,,10.0
2020-10-25 16:31:57,Ryan Mack,R. Mack,ADSS/ADWS/ADWO,Run,9,,9.0
2020-10-25 17:29:19,Angel Ho,A. Ho,AFE,Run,4,,4.0
2020-10-25 17:48:54,David Bell,D. Bell,AOSX/AOS,Cycle,8,,2.0
2020-10-25 17:50:39,Brandon Ramos,B. Ramos,AFE,Swim,1,,6.0
2020-10-25 18:08:47,Erica Raymond,E. Raymond,ADSS/ADWS/ADWO,Swim,4,,24.0
2020-10-25 18:20:52,Rick Rodriguez,R. Rodriguez,ADSS/ADWS/ADWO,Walk,3,,3.0
2020-10-25 19:08:08,Paul Hoover,P. Hoover,AFE,Run,7,,7.0
2020-10-25 21:19:03,Jennifer Robbins,J. Robbins,AOSX/AOS,Walk,7,,7.0
2020-10-25 21:53:54,Paul Hoover,P. Hoover,AFE,Swim,9,,54.0
2020-10-25 21:57:19,Zachary Thomas,Z. Thomas,ADSS/ADWS/ADWO,Walk,10,,10.0
2020-10-25 22:36:56,Pamela Graham,P. Graham,ADW,Cycle,1,,0.25
2020-10-26 00:17:45,Paula Scott,P. Scott,ATC,Swim,5,,30.0
2020-10-26 00:40:05,James Mays,J. Mays,ADW,Swim,10,,60.0
2020-10-26 00:48:23,Tammy Franco,T. Franco,AFE,Walk,4,,4.0
2020-10-26 01:09:22,David Johnson,D. Johnson,AFE,Swim,2,,12.0
2020-10-26 01:58:25,Sydney Parsons,S. Parsons,ADW,Cycle,5,,1.25
2020-10-26 02:34:29,Laura Tucker,L. Tucker,AOSX/AOS,Run,4,,4.0
2020-10-26 02:47:13,Christopher Perry,C. Perry,ABM,Swim,9,,54.0
2020-10-26 03:29:14,Lori Pham,L. Pham,AOSX/AOS,Walk,3,,3.0
2020-10-26 04:28:45,Kimberly Thomas,K. Thomas,AFE,Run,5,,5.0
2020-10-26 04:53:41,Heidi Caldwell,H. Caldwell,ABM,Cycle,2,,0.5
2020-10-26 05:09:19,William Wallace,W. Wallace,AOSX/AOS,Swim,6,,36.0
2020-10-26 05:17:06,William Brown,W. Brown,ADSS/ADWS/ADWO,Walk,7,,7.0
2020-10-26 05:23:50,Sean Mcdonald,S. Mcdonald,AFE,Swim,3,,18.0
2020-10-26 05:46:14,Heidi Caldwell,H. Caldwell,ABM,Run,6,,6.0
2020-10-26 06:21:21,Julie Lam,J. Lam,AOSX/AOS,Run,6,,6.0
2020-10-26 06:38:35,Shawn Brown,S. Brown,ATC,Swim,10,,60.0
2020-10-26 09:19:07,Angel Ho,A. Ho,AFE,Run,4,,4.0
2020-10-26 10:44:07,Veronica Barnett,V. Barnett,ADW,Run,5,,5.0
2020-10-26 11:21:03,Arthur Kelly,A. Kelly,ATC,Walk,8,,8.0
2020-10-26 12:43:56,Amanda Taylor,A. Taylor,ADW,Swim,9,,54.0
2020-10-26 13:03:35,Cameron Proctor,C. Proctor,ADSS/ADWS/ADWO,Walk,6,,6.0
2020-10-26 13:20:04,Craig Gonzalez,C. Gonzalez,ATC,Walk,3,,3.0
2020-10-26 16:09:21,Paul Hoover,P. Hoover,AFE,Run,2,,2.0
2020-10-26 17:58:27,Thomas Berry,T. Berry,ADSS/ADWS/ADWO,Walk,7,,7.0
2020-10-26 19:51:04,Zachary Thomas,Z. Thomas,ADSS/ADWS/ADWO,Run,8,,8.0
2020-10-26 21:17:39,Craig Gonzalez,C. Gonzalez,ATC,Run,1,,1.0
2020-10-26 22:32:48,Kyle Jones,K. Jones,AFE,Swim,7,,42.0
2020-10-26 22:57:29,William Brown,W. Brown,ADSS/ADWS/ADWO,Walk,8,,8.0
2020-10-27 00:35:21,Evelyn Christian,E. Christian,AOSX/AOS,Run,3,,3.0
2020-10-27 00:54:12,Stephanie Lee DDS,S. Lee,ADW,Walk,10,,10.0
2020-10-27 01:29:50,Deborah Gonzales,D. Gonzales,ABM,Walk,4,,4.0
2020-10-27 02:04:14,Misty Stout,M. Stout,ADSS/ADWS/ADWO,Walk,2,,2.0
2020-10-27 02:57:24,Todd Cross,T. Cross,ABM,Run,1,,1.0
2020-10-27 03:36:16,Justin Richardson,J. Richardson,ADW,Swim,2,,12.0
2020-10-27 05:31:09,Evan Peterson,E. Peterson,AOSX/AOS,Cycle,2,,0.5
2020-10-27 07:28:46,Heidi Caldwell,H. Caldwell,ABM,Cycle,5,,1.25
2020-10-27 08:36:09,Catherine Wilkins,C. Wilkins,AFE,Run,8,,8.0
2020-10-27 08:45:53,Sydney Parsons,S. Parsons,ADW,Run,2,,2.0
2020-10-27 08:54:49,William Wallace,W. Wallace,AOSX/AOS,Swim,7,,42.0
2020-10-27 08:58:04,Angel Benson,A. Benson,ADSS/ADWS/ADWO,Swim,4,,24.0
2020-10-27 10:33:03,Deborah Gonzales,D. Gonzales,ABM,Run,3,,3.0
2020-10-27 11:15:06,Antonio Taylor,A. Taylor,ABM,Walk,3,,3.0
2020-10-27 11:43:17,Jeffrey Smith,J. Smith,ABM,Swim,1,,6.0
2020-10-27 14:56:02,James Jones,J. Jones,AOSX/AOS,Cycle,8,,2.0
2020-10-27 15:00:27,Craig Gonzalez,C. Gonzalez,ATC,Swim,2,,12.0
2020-10-27 16:30:40,Johnny Lee,J. Lee,AFE,Walk,6,,6.0
2020-10-27 18:42:27,Tammy Franco,T. Franco,AFE,Run,4,,4.0
2020-10-27 19:20:15,Pamela Graham,P. Graham,ADW,Walk,4,,4.0
2020-10-27 19:57:35,Charles Tyler,C. Tyler,AFE,Walk,1,,1.0
2020-10-27 20:12:03,Jessica Carter,J. Carter,ADSS/ADWS/ADWO,Cycle,2,,0.5
2020-10-27 23:17:26,Tracey Nguyen,T. Nguyen,AOSX/AOS,Swim,5,,30.0
2020-10-27 23:41:27,Sean Mcdonald,S. Mcdonald,AFE,Cycle,3,,0.75
2020-10-28 00:13:50,Kenneth Rogers,K. Rogers,ABM,Swim,9,,54.0
2020-10-28 00:40:24,Matthew Payne,M. Payne,AFE,Run,8,,8.0
2020-10-28 01:08:06,Morgan Woods,M. Woods,ADSS/ADWS/ADWO,Run,3,,3.0
2020-10-28 01:15:51,Melinda Little,M. Little,ABM,Swim,9,,54.0
2020-10-28 03:00:39,David Johnson,D. Johnson,AFE,Cycle,1,,0.25
2020-10-28 03:32:11,Shelby Robertson,S. Robertson,ABM,Run,7,,7.0
2020-10-28 03:47:20,Robert Clark,R. Clark,ABM,Run,9,,9.0
2020-10-28 04:10:24,Heidi Caldwell,H. Caldwell,ABM,Cycle,3,,0.75
2020-10-28 04:44:00,Ian Townsend,I. Townsend,AOSX/AOS,Cycle,7,,1.75
2020-10-28 06:07:00,Wendy Maynard,W. Maynard,AFE,Run,10,,10.0
2020-10-28 06:08:08,Catherine Smith,C. Smith,ADW,Swim,9,,54.0
2020-10-28 06:20:07,Arthur Kelly,A. Kelly,ATC,Swim,3,,18.0
2020-10-28 06:23:06,Kelsey Pacheco,K. Pacheco,ADSS/ADWS/ADWO,Swim,10,,60.0
2020-10-28 07:12:24,Evan Peterson,E. Peterson,AOSX/AOS,Swim,4,,24.0
2020-10-28 08:27:24,Ian Townsend,I. Townsend,AOSX/AOS,Walk,5,,5.0
2020-10-28 08:48:55,Tracey Nguyen,T. Nguyen,AOSX/AOS,Run,8,,8.0
2020-10-28 09:16:25,Ian Townsend,I. Townsend,AOSX/AOS,Run,10,,10.0
2020-10-28 09:58:18,Pamela Graham,P. Graham,ADW,Walk,5,,5.0
2020-10-28 10:32:42,Christopher Perry,C. Perry,ABM,Swim,6,,36.0
2020-10-28 11:28:55,David Johnson,D. Johnson,AFE,Cycle,8,,2.0
2020-10-28 11:38:03,Jennifer Robbins,J. Robbins,AOSX/AOS,Walk,9,,9.0
2020-10-28 11:41:48,Misty Stout,M. Stout,ADSS/ADWS/ADWO,Swim,3,,18.0
2020-10-28 12:58:13,Misty Stout,M. Stout,ADSS/ADWS/ADWO,Cycle,5,,1.25
2020-10-28 13:45:33,David Bell,D. Bell,AOSX/AOS,Walk,6,,6.0
2020-10-28 13:54:11,Christopher Perry,C. Perry,ABM,Run,6,,6.0
2020-10-28 14:37:32,Jeffrey Fisher,J. Fisher,ABM,Swim,9,,54.0
2020-10-28 14:45:37,Aaron Graham,A. Graham,ADSS/ADWS/ADWO,Cycle,4,,1.0
2020-10-28 16:44:09,Amanda Taylor,A. Taylor,ADW,Run,2,,2.0
2020-10-28 20:02:58,James Rodriguez,J. Rodriguez,ADW,Run,4,,4.0
2020-10-28 21:27:43,Pamela Graham,P. Graham,ADW,Run,6,,6.0
2020-10-28 21:35:20,William Brown,W. Brown,ADSS/ADWS/ADWO,Walk,5,,5.0
2020-10-28 23:36:54,Deborah Gonzales,D. Gonzales,ABM,Swim,9,,54.0
2020-10-29 00:10:07,Charles Tyler,C. Tyler,AFE,Walk,4,,4.0
2020-10-29 00:14:28,Jonathan Gardner,J. Gardner,AFE,Run,1,,1.0
2020-10-29 01:10:26,Jonathan Harris,J. Harris,ADW,Walk,1,,1.0
2020-10-29 03:03:29,Morgan Woods,M. Woods,ADSS/ADWS/ADWO,Walk,4,,4.0
2020-10-29 04:19:26,Stefanie Tucker,S. Tucker,ABM,Cycle,8,,2.0
2020-10-29 05:04:58,Sydney Parsons,S. Parsons,ADW,Swim,4,,24.0
2020-10-29 05:29:24,Robert Clark,R. Clark,ABM,Run,5,,5.0
2020-10-29 05:56:31,Rick Rodriguez,R. Rodriguez,ADSS/ADWS/ADWO,Cycle,6,,1.5
2020-10-29 06:33:51,Heidi Caldwell,H. Caldwell,ABM,Walk,2,,2.0
2020-10-29 07:25:45,Stefanie Tucker,S. Tucker,ABM,Run,1,,1.0
2020-10-29 08:25:56,Kyle Jones,K. Jones,AFE,Run,4,,4.0
2020-10-29 09:55:03,William Baker,W. Baker,AFE,Walk,5,,5.0
2020-10-29 10:00:50,Stefanie Tucker,S. Tucker,ABM,Cycle,4,,1.0
2020-10-29 11:39:26,Sean Mcdonald,S. Mcdonald,AFE,Cycle,4,,1.0
2020-10-29 13:58:24,Lori Pham,L. Pham,AOSX/AOS,Swim,10,,60.0
2020-10-29 14:53:08,Aaron Graham,A. Graham,ADSS/ADWS/ADWO,Cycle,9,,2.25
2020-10-29 14:57:18,Christopher Perry,C. Perry,ABM,Walk,5,,5.0
2020-10-29 15:20:08,Deborah Gonzales,D. Gonzales,ABM,Walk,8,,8.0
2020-10-29 15:27:46,Mary Jackson,M. Jackson,ATC,Run,10,,10.0
2020-10-29 15:37:23,Craig Gonzalez,C. Gonzalez,ATC,Run,7,,7.0
2020-10-29 16:52:46,Laura Tucker,L. Tucker,AOSX/AOS,Swim,9,,54.0
2020-10-29 17:34:00,Jonathan Calderon,J. Calderon,AFE,Run,7,,7.0
2020-10-29 17:41:52,Jerome Whitehead,J. Whitehead,ADW,Walk,1,,1.0
2020-10-29 18:13:39,Stefanie Tucker,S. Tucker,ABM,Cycle,10,,2.5
2020-10-29 18:59:08,Brandon Russell,B. Russell,ATC,Swim,3,,18.0
2020-10-29 20:02:09,Ian Townsend,I. Townsend,AOSX/AOS,Run,10,,10.0
2020-10-29 20:35:48,George Cook,G. Cook,ADW,Walk,2,,2.0
2020-10-29 22:16:13,Mark Booker,M. Booker,AOSX/AOS,Swim,1,,6.0
2020-10-29 23:14:48,Kyle Jones,K. Jones,AFE,Cycle,6,,1.5
2020-10-29 23:47:32,Rachel Webb,R. Webb,AFE,Walk,5,,5.0
2020-10-30 00:14:05,Zachary Thomas,Z. Thomas,ADSS/ADWS/ADWO,Run,9,,9.0
2020-10-30 00:17:14,Susan Hill,S. Hill,AOSX/AOS,Swim,8,,48.0
2020-10-30 00:18:54,David Johnson,D. Johnson,AFE,Walk,5,,5.0
2020-10-30 02:16:20,Diana Lee,D. Lee,ATC,Cycle,10,,2.5
2020-10-30 03:25:34,Paul Rogers,P. Rogers,AOSX/AOS,Run,1,,1.0
2020-10-30 04:00:13,Danny Mason,D. Mason,AOSX/AOS,Walk,3,,3.0
2020-10-30 04:37:25,Brandon Ramos,B. Ramos,AFE,Run,9,,9.0
2020-10-30 04:38:23,Cameron Proctor,C. Proctor,ADSS/ADWS/ADWO,Cycle,7,,1.75
2020-10-30 05:54:35,Lisa Simpson,L. Simpson,AFE,Run,10,,10.0
2020-10-30 06:54:46,Jade Johnson,J. Johnson,ADSS/ADWS/ADWO,Walk,5,,5.0
2020-10-30 08:19:26,Heidi Caldwell,H. Caldwell,ABM,Walk,1,,1.0
2020-10-30 11:06:59,Jeffrey Smith,J. Smith,ABM,Swim,4,,24.0
2020-10-30 15:05:53,Johnny Lee,J. Lee,AFE,Run,3,,3.0
2020-10-30 18:14:37,Erica Raymond,E. Raymond,ADSS/ADWS/ADWO,Cycle,10,,2.5
2020-10-30 18:42:41,Jacqueline Young,J. Young,ADSS/ADWS/ADWO,Cycle,1,,0.25
2020-10-30 23:55:20,Mark Villanueva,M. Villanueva,ATC,Swim,10,,60.0
2020-10-31 00:05:09,Misty Stout,M. Stout,ADSS/ADWS/ADWO,Walk,8,,8.0
2020-10-31 00:43:27,Anthony Warren,A. Warren,ADSS/ADWS/ADWO,Run,9,,9.0
2020-10-31 01:00:32,Jade Johnson,J. Johnson,ADSS/ADWS/ADWO,Swim,10,,60.0
2020-10-31 01:48:24,Shawn Brown,S. Brown,ATC,Run,1,,1.0
2020-10-31 03:06:19,Mark Booker,M. Booker,AOSX/AOS,Run,1,,1.0
2020-10-31 03:06:52,Stephanie Walker,S. Walker,AFE,Run,10,,10.0
2020-10-31 03:36:35,Erica Raymond,E. Raymond,ADSS/ADWS/ADWO,Run,8,,8.0
2020-10-31 05:28:21,Pamela Graham,P. Graham,ADW,Cycle,7,,1.75
2020-10-31 07:46:38,Kelsey Pacheco,K. Pacheco,ADSS/ADWS/ADWO,Swim,8,,48.0
2020-10-31 08:17:58,Kyle Jones,K. Jones,AFE,Walk,7,,7.0
2020-10-31 08:55:04,Cameron Proctor,C. Proctor,ADSS/ADWS/ADWO,Run,8,,8.0
2020-10-31 09:38:12,Anthony Warren,A. Warren,ADSS/ADWS/ADWO,Walk,4,,4.0
2020-10-31 12:42:40,William Brown,W. Brown,ADSS/ADWS/ADWO,Swim,8,,48.0
2020-10-31 13:13:36,Robert Clark,R. Clark,ABM,Swim,7,,42.0
2020-10-31 14:35:48,Johnny Lee,J. Lee,AFE,Run,9,,9.0
2020-10-31 16:00:01,Danny Mason,D. Mason,AOSX/AOS,Swim,2,,12.0
2020-10-31 16:29:19,Sean Mcdonald,S. Mcdonald,AFE,Walk,1,,1.0
2020-10-31 17:42:59,Stefanie Tucker,S. Tucker,ABM,Walk,7,,7.0
2020-10-31 18:35:57,Melinda Little,M. Little,ABM,Cycle,7,,1.75
2020-10-31 21:18:30,James Hammond,J. Hammond,ADSS/ADWS/ADWO,Swim,6,,36.0
2020-10-31 22:59:53,Morgan Woods,M. Woods,ADSS/ADWS/ADWO,Run,5,,5.0
2020-10-31 23:09:23,Jacqueline Young,J. Young,ADSS/ADWS/ADWO,Walk,8,,8.0
2020-10-31 23:22:08,Angel Ho,A. Ho,AFE,Cycle,3,,0.75
2020-10-31 23:43:48,Barbara Baker,B. Baker,ATC,Walk,2,,2.0
2020-11-01 00:10:14,Amanda Taylor,A. Taylor,ADW,Walk,10,,10.0
2020-11-01 00:36:59,Laura Tucker,L. Tucker,AOSX/AOS,Cycle,7,,1.75
2020-11-01 01:27:57,Lisa Simpson,L. Simpson,AFE,Cycle,7,,1.75
2020-11-01 01:40:58,Shelby Robertson,S. Robertson,ABM,Walk,8,,8.0
2020-11-01 03:17:42,Cameron Proctor,C. Proctor,ADSS/ADWS/ADWO,Cycle,7,,1.75
2020-11-01 05:27:01,James Rodriguez,J. Rodriguez,ADW,Swim,5,,30.0
2020-11-01 06:33:26,Evelyn Christian,E. Christian,AOSX/AOS,Swim,5,,30.0
2020-11-01 06:48:34,Mark Booker,M. Booker,AOSX/AOS,Walk,9,,9.0
